OID_,Value,Count
,10,7246021.000000000000000
,11,5447597.000000000000000
,12,79327.000000000000000
,20,883760.000000000000000
,30,2722597.000000000000000
,40,2676432.000000000000000
,50,5067546.000000000000000
,60,6280728.000000000000000
,61,349763.000000000000000
,62,12701036.000000000000000
,70,4236869.000000000000000
,71,543020.000000000000000
,80,31713.000000000000000
,90,551002.000000000000000
,100,1666634.000000000000000
,110,1111354.000000000000000
,120,19486312.000000000000000
,122,229389.000000000000000
,130,4769638.000000000000000
,140,292.000000000000000
,150,286973.000000000000000
,151,5.000000000000000
,152,14917.000000000000000
,153,144056.000000000000000
,160,267118.000000000000000
,170,60657.000000000000000
,180,1716989.000000000000000
,190,322731.000000000000000
,200,2343405.000000000000000
,201,128855.000000000000000
,202,1342.000000000000000
,210,9501129.000000000000000
,220,3520.000000000000000
